Thành Phố Cần Thơ,Huyện Cờ Đỏ,Thị Trấn Cờ Đỏ,R7148204
Thành Phố Cần Thơ,Huyện Cờ Đỏ,Xã Thạnh Phú,R7148173
Thành Phố Cần Thơ,Huyện Cờ Đỏ,Xã Thới Hưng,R7148174
Thành Phố Cần Thơ,Huyện Cờ Đỏ,Xã Thới Xuân,R7148205
Thành Phố Cần Thơ,Huyện Cờ Đỏ,Xã Thới Đông,R7148206
Thành Phố Cần Thơ,Huyện Cờ Đỏ,Xã Trung An,R7148207
Thành Phố Cần Thơ,Huyện Cờ Đỏ,Xã Trung Hưng,R7148208
Thành Phố Cần Thơ,Huyện Cờ Đỏ,Xã Trung Thạnh,R7148209
Thành Phố Cần Thơ,Huyện Cờ Đỏ,Xã Đông Hiệp,R7148210
Thành Phố Cần Thơ,Huyện Cờ Đỏ,Xã Đông Thắng,R7148211
Thành Phố Cần Thơ,Huyện Phong Điền,Thị Trấn Phong Điền,R80003355
Thành Phố Cần Thơ,Huyện Phong Điền,Xã Giai Xuân,R80003357
Thành Phố Cần Thơ,Huyện Phong Điền,Xã Mỹ Khánh,R80003358
Thành Phố Cần Thơ,Huyện Phong Điền,Xã Nhơn Nghĩa,R80003353
Thành Phố Cần Thơ,Huyện Phong Điền,Xã Nhơn Ái,R80003352
Thành Phố Cần Thơ,Huyện Phong Điền,Xã Trường Long,R80003356
Thành Phố Cần Thơ,Huyện Phong Điền,Xã Tân Thới,R80003354
Thành Phố Cần Thơ,Huyện Thới Lai,Thị Trấn Thới Lai,R80003372
Thành Phố Cần Thơ,Huyện Thới Lai,Xã Thới Thạnh,R80003378
Thành Phố Cần Thơ,Huyện Thới Lai,Xã Thới Tân,R80003373
Thành Phố Cần Thơ,Huyện Thới Lai,Xã Trường Thành,R80003374
Thành Phố Cần Thơ,Huyện Thới Lai,Xã Trường Thắng,R80003379
Thành Phố Cần Thơ,Huyện Thới Lai,Xã Trường Xuân,R7148165
Thành Phố Cần Thơ,Huyện Thới Lai,Xã Trường Xuân A,R7148163
Thành Phố Cần Thơ,Huyện Thới Lai,Xã Trường Xuân B,R7148164
